Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,,111.770000,-101.359673,0.000000,top
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.100000,-67.900000,0.000000,top
C2,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.400000,-74.500000,-90.000000,top
C3,15pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.300000,-93.300000,0.000000,top
C4,15pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.250000,-93.300000,0.000000,top
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,119.060000,-81.600000,180.000000,top
C6,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.600000,-77.700000,0.000000,top
C7,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.000000,-73.700000,-90.000000,top
C8,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.600000,-82.300000,0.000000,top
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.950000,-87.100000,180.000000,top
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,119.050000,-77.200000,180.000000,top
C11,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.500000,-73.700000,-90.000000,top
C12,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,111.400000,-74.500000,-90.000000,top
C13,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.400000,-87.100000,180.000000,top
C14,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.700000,-62.000000,-90.000000,top
C15,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.700000,-84.100000,0.000000,top
C16,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.400000,-84.100000,0.000000,top
C17,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.200000,-101.450000,90.000000,top
C18,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.200000,-98.800000,-90.000000,top
